17589	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17589	5774	General	_NotDefined		3	DAF SR SR1347	3 - DAF SR SR1347
17589	5788	General	_NotDefined		3	DAF HR HR1356	3 - DAF HR HR1356
17589	5799	General	_NotDefined		3	DAF SR SR1344	3 - DAF SR SR1344
17592	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
17592	5772	General	_NotDefined		2	DAF SR SR1132T	2 - DAF SR SR1132T
17592	5802	General	_NotDefined		2	DAF HR HR1355T	2 - DAF HR HR1355T
17592	5803	General	_NotDefined		2	DAF SR SR1360T	2 - DAF SR SR1360T
17595	5804	General	_NotDefined		1	DAF N-Series 167N	1 - DAF N-Series 167N
17595	5772	General	_NotDefined		2	DAF SR SR1132T	2 - DAF SR SR1132T
17595	5802	General	_NotDefined		2	DAF HR HR1355T	2 - DAF HR HR1355T
23840	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
23840	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
23840	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
23840	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23965	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
23965	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
23965	5789	General	_NotDefined		2	DAF HR HR1357	2 - DAF HR HR1357
23965	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23850	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23850	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
23850	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23850	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
23850	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
23850	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23858	5799	General	_NotDefined		1	DAF SR SR1344	1 - DAF SR SR1344
23858	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
23858	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23858	5804	General	_NotDefined		1	DAF N-Series 167N	1 - DAF N-Series 167N
23858	7146	General	_NotDefined		1	DAF N-Series 187N	1 - DAF N-Series 187N
23858	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
23858	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
23858	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23860	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23860	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23860	5770	General	_NotDefined		2	DAF N-Series 150N	2 - DAF N-Series 150N
23860	5774	General	_NotDefined		3	DAF SR SR1347	3 - DAF SR SR1347
23860	5788	General	_NotDefined		3	DAF HR HR1356	3 - DAF HR HR1356
23860	5799	General	_NotDefined		3	DAF SR SR1344	3 - DAF SR SR1344
23861	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23861	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
23861	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23861	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
23861	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
23861	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23864	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23864	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23864	5772	General	_NotDefined		2	DAF SR SR1132T	2 - DAF SR SR1132T
23864	7147	General	_NotDefined		2	DAF HR HR1670T	2 - DAF HR HR1670T
23864	7148	General	_NotDefined		2	DAF HR HR1360T	2 - DAF HR HR1360T
17584	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17584	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
17584	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
17584	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
17584	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
23865	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
