103443	389	12055	APRILIA MO	4049	1993-01-01	1999-12-31	Amico 50 GL CatCon. (HV)	APRILIA MOTORCYCLES AMICO Amico 50 GL CatCon. (HV)	1
103452	390	12056	APRILIA MO	4049	1998-01-01	2003-12-31	Area 51 CatCon. (MY)	APRILIA MOTORCYCLES AREA Area 51 CatCon. (MY)	1
103450	391	12056	APRILIA MO	4049	2000-01-01	2003-12-31	Area 51 Replica (MY)	APRILIA MOTORCYCLES AREA Area 51 Replica (MY)	1
103451	392	12056	APRILIA MO	4049	2000-01-01	2002-12-31	Area 51 SBK CatCon. (MY)	APRILIA MOTORCYCLES AREA Area 51 SBK CatCon. (MY)	1
103457	393	12057	APRILIA MO	4049	2003-01-01	2013-12-31	Atlantic 125 (SP)	APRILIA MOTORCYCLES ATLANTIC Atlantic 125 (SP)	1
90100016	394	12057	APRILIA MO	4049	2004-01-01	2009-12-31	ATLANTIC 400 SPRINT	APRILIA MOTORCYCLES ATLANTIC ATLANTIC 400 SPRINT	0
118029	395	12057	APRILIA MO	4049	2003-01-01	2013-12-31	Atlantic 125 (SP)	APRILIA MOTORCYCLES ATLANTIC Atlantic 125 (SP)	1
109524	396	12057	APRILIA MO	4049	2002-01-01	2005-12-31	Atlantic 200 (SP)	APRILIA MOTORCYCLES ATLANTIC Atlantic 200 (SP)	1
126562	397	12057	APRILIA MO	4049	2002-01-01	2010-12-31	Atlantic 250	APRILIA MOTORCYCLES ATLANTIC Atlantic 250	0
103458	398	12057	APRILIA MO	4049	2004-01-01	2009-12-31	Atlantic 250 (SP)	APRILIA MOTORCYCLES ATLANTIC Atlantic 250 (SP)	1
129922	399	12057	APRILIA MO	4049	2006-01-01	2009-12-31	Atlantic 250 i.e.	APRILIA MOTORCYCLES ATLANTIC Atlantic 250 i.e.	1
109523	400	12057	APRILIA MO	4049	2010-03-01	0000-00-00	Atlantic 300 i.e. (SPG)	APRILIA MOTORCYCLES ATLANTIC Atlantic 300 i.e. (SPG)	1
129923	401	12057	APRILIA MO	4049	2006-01-01	2009-12-31	Atlantic 400 Sprint	APRILIA MOTORCYCLES ATLANTIC Atlantic 400 Sprint	1
103460	402	12057	APRILIA MO	4049	2002-01-01	0000-00-00	Atlantic 500 (PT)	APRILIA MOTORCYCLES ATLANTIC Atlantic 500 (PT)	1
103459	403	12057	APRILIA MO	4049	2005-01-01	2010-12-31	Atlantic 500 Sprint (VL)	APRILIA MOTORCYCLES ATLANTIC Atlantic 500 Sprint (VL)	1
109522	6292	13557	APRILIA MO	4049	2013-01-01	0000-00-00	Caponord 1200 (VK)	APRILIA MOTORCYCLES CAPONORD Caponord 1200 (VK)	1
113989	6293	13557	APRILIA MO	4049	2013-01-01	0000-00-00	Caponord 1200 Rally (VK)	APRILIA MOTORCYCLES CAPONORD Caponord 1200 Rally (VK)	1
103663	404	12058	APRILIA MO	4049	1993-01-01	1998-12-31	Classic 50 (GI)	APRILIA MOTORCYCLES CLASSIC Classic 50 (GI)	1
103218	405	12058	APRILIA MO	4049	1997-01-01	2001-12-31	Classic 125	APRILIA MOTORCYCLES CLASSIC Classic 125	1
103683	406	12059	APRILIA MO	4049	2008-06-01	2013-12-31	Cube 300 i.e.	APRILIA MOTORCYCLES CUBE Cube 300 i.e.	1
90100023	407	12059	APRILIA MO	4049	1991-01-01	2000-12-31	CUBE 650 I.E.	APRILIA MOTORCYCLES CUBE CUBE 650 I.E.	0
103684	408	12059	APRILIA MO	4049	2010-06-01	2013-12-31	Cube 300 i.e. Black Line	APRILIA MOTORCYCLES CUBE Cube 300 i.e. Black Line	1
103711	409	12060	APRILIA MO	4049	2008-05-01	2013-12-31	Dorsoduro 750 (M551M)	APRILIA MOTORCYCLES DORSODURO Dorsoduro 750 (M551M)	1
126563	410	12060	APRILIA MO	4049	2002-01-01	2013-12-31	Dorsoduro 750	APRILIA MOTORCYCLES DORSODURO Dorsoduro 750	0
103712	411	12060	APRILIA MO	4049	2010-05-01	2013-12-31	Dorsoduro 750 Factory (M551M)	APRILIA MOTORCYCLES DORSODURO Dorsoduro 750 Factory (M551M)	1
103713	412	12060	APRILIA MO	4049	2014-01-01	0000-00-00	Dorsoduro 750 ABS	APRILIA MOTORCYCLES DORSODURO Dorsoduro 750 ABS	1
123622	413	12060	APRILIA MO	4049	2017-01-01	0000-00-00	Dorsoduro 900	APRILIA MOTORCYCLES DORSODURO Dorsoduro 900	1
103714	414	12060	APRILIA MO	4049	2010-10-01	2013-12-31	Dorsoduro 1200	APRILIA MOTORCYCLES DORSODURO Dorsoduro 1200	1
103715	415	12060	APRILIA MO	4049	2010-10-01	0000-00-00	Dorsoduro 1200 ABS/ATC	APRILIA MOTORCYCLES DORSODURO Dorsoduro 1200 ABS/ATC	1
128697	416	12060	APRILIA MO	4049	2017-01-01	0000-00-00	Dorsoduro 900	APRILIA MOTORCYCLES DORSODURO Dorsoduro 900	1
103830	417	12061	APRILIA MO	4049	1987-01-01	0000-00-00	ET 50	APRILIA MOTORCYCLES ET ET 50	1
103831	418	12061	APRILIA MO	4049	1987-01-01	0000-00-00	ET 50 Tuareg	APRILIA MOTORCYCLES ET ET 50 Tuareg	1
103832	419	12061	APRILIA MO	4049	1989-01-01	0000-00-00	ET 50 Fire	APRILIA MOTORCYCLES ET ET 50 Fire	1
103833	420	12061	APRILIA MO	4049	1988-01-01	0000-00-00	ET 50	APRILIA MOTORCYCLES ET ET 50	1
103840	421	12062	APRILIA MO	4049	2004-01-01	2007-12-31	ETV 1000 Caponord ABS (PS)	APRILIA MOTORCYCLES ETV ETV 1000 Caponord ABS (PS)	1
103841	422	12062	APRILIA MO	4049	1998-01-01	2004-12-31	ETV 1000 Caponord (PS)	APRILIA MOTORCYCLES ETV ETV 1000 Caponord (PS)	1
