3447	AKRON	1	AKRON	0	0	0	0	0	0	0	0
2840	AKRON-MALÒ	1	AKRON-MALÒ	0	0	0	0	0	0	0	0
1340	AKS DASIS	1	AKS DASIS	0	0	0	0	0	0	0	0
2174	AKTIV	0	AKTIV FISCHER	0	0	0	0	0	0	0	0
4226	AKÜSAN	1	AKÜSAN	0	0	0	0	0	0	0	0
3777	AKYOTO	1	AKYOTO	0	0	0	0	0	0	0	0
3410	ALANKO	1	ALANKO	0	0	0	0	0	0	0	0
1482	ALBAN	0	ALBANY	0	0	0	0	0	0	0	0
2374	ALBARET	0	ALBARET	0	0	0	0	0	0	0	0
748	ALBER	1	ALBERT	0	0	0	0	0	0	0	0
129	ALBIO	0	ALBION	0	0	0	0	0	0	0	0
3599	ALCA	1	alca	0	0	0	0	0	0	0	0
4444	ALCAR	1	ALCAR	0	0	0	0	0	0	0	0
60000	ALCAR	1	ALCAR	0	0	0	0	0	0	0	0
130	ALCAT	0	ALCATEL	0	0	0	0	0	0	0	0
2273	ALCOFILTER	1	ALCO FILTER	0	0	0	0	0	0	0	0
2123	ALCOZYP	1	ALCO (ZYPERN)	0	0	0	0	0	0	0	0
4856	ALDER	1	ALDER	0	0	0	0	0	0	0	0
2	ALFA	0	ALFA ROMEO	1	0	0	0	0	0	0	1
2353	A.L.FILTER	1	A.L. FILTER	0	0	0	0	0	0	0	0
709	ALFME	1	ALFMEIER	0	0	0	0	0	0	0	0
3974	AL-GHAZI	0	AL-GHAZI	0	1	0	0	0	0	0	1
1861	ALINQUANT	1	ALLINQUANT	0	0	0	0	0	0	0	0
2121	ALKAR	1	ALKAR	0	0	0	0	0	0	0	0
1404	AL-KO	1	AL-KO	0	0	0	0	0	0	0	0
4857	ALKO-ALTON	1	ALKO-ALTONE	0	0	0	0	0	0	0	0
2774	ALLARD	0	ALLARD	0	0	0	0	0	0	0	0
3687	ALLGAIER	0	ALLGAIER	0	1	0	0	0	0	0	1
2597	ALLIED N	1	ALLIED NIPPON	0	0	0	0	0	0	0	0
4350	ALLIGATOR	1	ALLIGATOR	0	0	0	0	0	0	0	0
914	ALLIS CHAL	0	ALLIS-CHALMERS	0	0	0	0	0	0	0	0
2375	ALLISON T	0	ALLISON TRANSMISSION	0	0	0	0	0	0	0	0
2445	ALLMAKES	1	ALLMAKES	0	0	0	0	0	0	0	0
4414	ALPHEON	0	ALPHEON	1	0	0	0	0	0	0	0
866	ALPI	0	ALPINA	1	0	0	0	0	0	0	1
810	ALPIN	0	ALPINE	1	0	0	0	0	0	0	1
4730	ALVIS	0	ALVIS	1	0	0	0	0	0	0	0
2775	AM GENERAL	0	AM GENERAL	1	0	0	0	0	0	0	0
3402	AMALIE	1	AMALIE	0	0	0	0	0	0	0	0
1035	AMAT	0	AMAT	0	0	0	0	0	0	0	0
4367	AMAZONAS	0	AMAZONAS MOTORCYCLES	0	0	0	1	0	0	0	0
2569	AMAZONE	0	AMAZONE	0	0	0	0	0	0	0	0
2246	AMC	0	AMC	1	0	0	0	0	0	0	1
2695	AMC	1	AMC	0	0	0	0	0	0	0	0
2138	AMC FILTER	1	AMC Filter	0	0	0	0	0	0	0	0
3088	AMC/ADL	1	AMADEOMARTICARBONELL	0	0	0	0	0	0	0	0
4471	AMD	1	AMD	0	0	0	0	0	0	0	0
